candidate_id,age,gender,race,years_experience,education_level,education_label,technical_skills,communication_score,problem_solving,fit_score
72,35,male,white,8,2,bachelor,45.94,80.59,69.17,87.89
73,32,male,white,2,2,bachelor,53.91,76.33,59.6,60.48
74,26,non-binary,other,5,2,bachelor,60.82,58.6,67.92,79.1
75,37,non-binary,black,9,2,bachelor,63.96,57.96,43.7,59.37
76,22,male,hispanic,0,2,bachelor,66.3,72.29,54.7,69.61
77,48,non-binary,black,6,3,master,65.15,63.02,81.86,72.88
78,26,male,hispanic,8,4,phd,31.88,73.89,62.59,75.21
79,33,male,other,6,4,phd,76.69,75.78,51.52,66.82
80,24,non-binary,asian,3,2,bachelor,31.58,80.48,82.48,71.25
81,25,non-binary,white,2,4,phd,68.25,79.97,62.7,65.08
82,37,male,asian,9,2,bachelor,52.58,63.08,71.09,93.79
83,32,non-binary,black,2,4,phd,70.94,49.58,47.03,44.34
84,24,non-binary,black,10,4,phd,68.21,64.88,75.35,82.37
85,35,female,asian,1,1,associate,54.51,48.44,86.74,66.19
86,31,male,asian,7,3,master,61.72,67.92,71.36,92.79
87,44,male,hispanic,2,3,master,65.92,60.72,49.76,70.2
88,29,female,asian,24,4,phd,46.88,72.88,64.55,77.94
89,40,female,hispanic,11,3,master,40.33,84.85,75.11,73.37
90,35,female,other,9,3,master,100,70.22,62.49,73.11
91,22,female,asian,6,3,master,71.54,88.13,84.4,65.4
92,33,non-binary,other,5,3,master,61.12,57.47,85.34,73.23
93,38,male,asian,16,4,phd,58.76,63.06,80.88,67.22
94,32,female,asian,2,2,bachelor,48.2,65.33,85.86,64.14
95,50,female,asian,0,2,bachelor,68.33,58.5,95.35,72.36
96,42,non-binary,asian,1,4,phd,45.44,75.69,53.72,92.64
97,22,male,black,15,3,master,68.21,95.79,95.04,78.27
98,30,female,black,0,2,bachelor,85.69,74.08,39.04,56.83
99,43,non-binary,asian,3,0,high_school,87.48,93.88,74.59,70.96
100,37,non-binary,asian,3,3,master,86.01,46.46,78.54,61.42
